OBJECTID,STOP_ID,LAST_UPDATE_DATE,GeometryEasting,GeometryNorthing
246,20000586,2026-06-18,838281,821788
247,20000588,2026-07-10,838883,822384
248,20000589,2026-06-18,839501,822411
249,20000590,2026-09-11,839464,822600
250,20000591,2026-09-10,839075,823165
251,20000592,2026-09-10,838688,823305
252,20000594,2026-09-10,838752,823457
253,20000595,2026-06-18,838969,823287
254,20000596,2026-06-18,839090,823218
255,20000597,2026-06-18,839480,822604
256,20000598,2026-06-18,839526,822426
257,20000599,2026-06-18,839432,822313
258,20000600,2026-09-11,838756,822631
259,20000603,2026-07-13,838368,822794
260,20000604,2026-07-13,838519,823282
261,20000607,2026-09-10,838889,823119
262,20000613,2026-06-18,838198,821930
263,20000615,2026-09-10,838064,822459
264,20000620,2026-06-18,834743,819860
265,20000622,2026-06-18,834598,820261
266,20000625,2026-06-18,835549,819331
267,20000626,2026-09-10,835831,819544
268,20000627,2026-07-25,835856,820012
269,20000628,2026-09-11,835504,820563
270,20000629,2026-09-10,834945,820492
271,20000630,2026-06-18,834740,820299
272,20000631,2026-06-18,834750,820113
273,20000633,2026-09-10,841074,819612
274,20000662,2026-06-18,842166,818511
275,20000673,2026-06-18,836226,822014
276,20000678,2026-07-02,837525,819578
277,20000680,2026-06-18,837675,819144
278,20000681,2026-09-11,837844,818732
279,20000682,2026-09-10,837700,818851
280,20000683,2026-06-18,837617,818684
281,20000684,2026-09-10,837143,818392
282,20000685,2026-06-18,836095,818265
283,20000686,2026-06-18,835960,818264
284,20000687,2026-06-18,835823,818522
285,20000688,2026-06-18,835603,818465
286,20000690,2026-06-18,834863,818632
287,20000691,2026-09-10,834830,818451
288,20000693,2026-07-02,835151,818591
289,20000694,2026-09-10,835270,818689
290,20000696,2026-07-02,835369,818541
291,20000697,2026-07-02,835598,818488
292,20000698,2026-07-02,835823,818552
293,20000700,2026-07-02,836104,818280
294,20000701,2026-09-11,837110,818500
295,20000702,2026-07-02,837550,818612
296,20000703,2026-07-02,837725,818850
297,20000704,2026-09-09,837314,819894
298,20000706,2026-09-10,837306,819527
299,20000707,2026-07-25,837258,819404
300,20000709,2026-09-10,837134,819209
301,20000710,2026-09-10,836914,819157
302,20000714,2026-07-25,836609,819742
303,20000715,2026-06-29,835799,819978
304,20000716,2026-07-25,835734,820013
305,20000717,2026-07-25,835703,820175
306,20000718,2026-07-25,835662,820386
307,20000719,2026-07-25,835636,820524
308,20000720,2026-09-11,835583,820164
309,20000721,2026-09-11,836266,820132
310,20000723,2026-07-25,836624,819759
311,20000724,2026-07-25,836747,819576
312,20000726,2026-07-25,837143,819236
313,20000727,2026-07-25,837247,819408
314,20000731,2026-07-25,837244,819935
315,20000733,2026-06-18,837736,819893
316,20000735,2026-06-18,836620,822237
317,20000736,2026-06-18,836803,822239
318,20000737,2026-06-18,836721,822379
319,20000739,2026-06-18,836637,822554
320,20000740,2026-06-18,836899,822668
321,20000742,2026-09-02,836723,822217
322,20000744,2026-06-18,836240,822768
323,20000745,2026-06-18,834958,822282
324,20000746,2026-06-18,835180,821321
325,20000747,2026-06-18,835163,821237
326,20000748,2026-06-18,835272,820998
327,20000749,2026-06-18,835315,820672
328,20000752,2026-06-18,835231,822181
329,20000753,2026-06-18,835015,822383
330,20000758,2026-06-18,835311,822550
331,20000761,2026-06-18,838980,823027
332,20000762,2026-06-18,838824,823004
333,20000763,2026-09-11,838562,822871
334,20000772,2026-06-18,837650,820295
335,20000785,2026-07-10,837795,822528
336,20000786,2026-08-31,838527,822782
337,20000787,2026-06-18,838736,823004
338,20000788,2026-09-11,838874,823026
339,20000789,2026-06-18,838972,823041
340,20000790,2026-09-11,839216,823020
341,20000791,2026-06-18,839420,822810
342,20000794,2026-09-10,839526,822702
343,20000796,2026-06-18,839855,822519
344,20000797,2026-06-18,839807,822542
345,20000798,2026-06-18,839702,822622
346,20000799,2026-06-18,839488,822679
347,20000800,2026-06-18,837922,822406
